s/n,resturant,location
0,4 Fingers Crispy Chicken,#B4-06/06A
1,AMA Soy,#B4-64
2,Auntie Anne's,#B4-61
3,Awfully Chocolate,#B4-50
4,Bengawan Solo,#B4-38
5,Itacho Sushi,#B3-20
6,Jasons,#B4-17/18/19
7,Killiney Café,#B4-57
8,Koi Cafe,#B4-35
9,Lau Tan's Tutu Delights,#B4-69
10,Saveur Art,#04-11
11,Seoul Yummy,#B3-22
12,Simply Wrapps,#B4-30
13,Starbucks Coffee,#B3-59
14,Swensen's,#B1-31
