s/n,resturant,location
0,Gelateria Italia,#B4-72
1,Gusto by Alfresco Gusto,#01-15 (Outdoor)
2,Gyoza Ya,#B4-56
3,Haagen-Dazs,#04-27 - 32
4,Hock Lam Beef Specialities,#B3-18
5,Men-ya KAIKO,#B4-54
6,Monster Curry,#B4-52
7,Nara Thai,#B3-21
8,Old Chang Kee,#B4-36
9,Paradise Dynasty,#04-12A
10,The Soup Spoon,#B4-67/68
11,The Twelve Bakeshop,#B4-33
12,Tonkatsu Ginza Bairin,#B4-39/40/41/42
13,Tori Q,#B4-53
14,Toss & Turn,#B4-55
