s/n,resturant,location
0,Boost Juice Bar,#B4-65
1,Bread Society,#B4-08/09
2,Dunkin' Donuts,#B4-60
3,First Love Patisserie,#B4-63
4,Food Opera,#B4-03/04
5,Let's Eat,#B4-66
6,Lim Chee Guan,#B4-37
7,Magosaburo,#05-01
8,Magosaburo,#04-11A
9,Mei Heong Yuen,#B4-34
10,Taste Paradise,#04-07
11,Tea Loft,#B4-03
12,The Coffee Bean and Tea Leaf,#B1-12
13,The Marmalade Pantry,#03-22/28 to 34
14,The Oaks Cellars,#04-24
